mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	2	1	Db.I6{				Db	I		I6	I		6				{	M	0	0	-1, -4, -5		-5	-1	0	12	0.0	0.0	3.75	0.0
2	2	0	0	9/8	2	1	#viio2(64)/vi				Db	I		#viio2(64)/vi	#vii	o	2	64	vi			o7	0	0	-6, 3, -5, -1		3	-6	2	6	0.25	0.25	2.0	0.1111111111111111
2	2	3/8	3/8	9/8	2	1	#viio2/vi				Db	I		#viio2/vi	#vii	o	2		vi			o7	0	0	-6, 3, 0, -3		3	-6	0	4	0.0	0.0	2.25	0.0
3	3	0	0	9/8	2	1	vi43(42)	0	-4.5	/	Db	I		vi43(42)	vi		43	42				mm7	0	0	-1, -4, 0, -3		-2	-1	2	6	0.25	0.25	2.0	0.1111111111111111
3	3	3/8	3/8	9/8	2	1	vi43	0	-4.5	/	Db	I		vi43	vi		43					mm7	0	0	-1, -4, -2, -5		-2	-1	0	7	0.0	0.0	2.25	0.0
4	4	0	0	9/8	2	1	V43(42)				Db	I		V43(42)	V		43	42				Mm7	0	0	-3, -6, -2, -5		-4	-3	2	6	0.25	0.25	2.0	0.1111111111111111
4	4	3/8	3/8	9/8	2	1	V43				Db	I		V43	V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	4	0.0	0.0	2.25	0.0
5	5	0	0	9/8	2	1	ii2(6)				Db	I		ii2(6)	ii		2	6				mm7	0	0	-5, -3, -6, 0		-3	-5	1	5	0.16666666666666666	0.125	2.5	0.047619047619047616
5	5	3/8	3/8	9/8	2	1	ii2				Db	I		ii2	ii		2					mm7	0	0	-5, -3, -6, -2		-3	-5	0	3	0.0	0.0	0.375	0.0
5	5	3/4	3/4	9/8	2	1	V65				Db	I		V65	V		65					Mm7	0	0	0, -3, -6, -4		-4	0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
6	6	0	0	9/8	2	1	ii43(4)				Db	I		ii43(4)	ii		43	4				mm7	0	0	-2, -5, -3, -4		-3	-2	1	5	0.16666666666666666	0.125	2.5	0.047619047619047616
6	6	3/8	3/8	9/8	2	1	ii43				Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	1	0.0	0.0	0.375	0.0
6	6	3/4	3/4	9/8	2	1	V65/vi				Db	I		V65/vi	V		65		vi			Mm7	0	0	3, 0, -3, -1		-1	3	0	4	0.0	0.0	1.5	0.0
7	7	0	0	9/8	2	1	vi2				Db	I		vi2	vi		2					mm7	0	0	-4, -2, -5, -1		-2	-4	1	8	0.1111111111111111	0.125	2.875	0.041666666666666664
7	7	3/4	3/4	9/8	2	1	ii65				Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
8	8	0	0	9/8	2	1	vi43(4)				Db	I		vi43(4)	vi		43	4				mm7	0	0	-1, -4, -2, -3		-2	-1	1	5	0.16666666666666666	0.125	2.5	0.047619047619047616
8	8	3/8	3/8	9/8	2	1	vi43				Db	I		vi43	vi		43					mm7	0	0	-1, -4, -2, -5		-2	-1	0	1	0.0	0.0	0.375	0.0
8	8	3/4	3/4	9/8	2	1	V43				Db	I		V43	V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	4	0.0	0.0	1.3125	0.0
8	8	15/16	15/16	9/8	2	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	1	0.0	0.0	0.1875	0.0
9	9	0	0	9/8	2	1	I|IAC}{				Db	I		I	I					IAC	}{	M	0	0	-5, -1, -4		-5	-5	0	12	0.0	0.0	3.75	0.0
10	10	0	0	9/8	2	1	ii65(2)	0	-3.9	/	Db	I		ii65(2)	ii		65	2				mm7	0	0	-6, -2, -5, -1		-3	-6	1	11	0.08333333333333333	0.125	3.375	0.03571428571428571
10	10	3/8	3/8	9/8	2	1	ii65	-0.253744	-3.73877	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	0	7	0.0	0.0	5.25	0.0
11	11	0	0	9/8	2	1	I6(2)	-0.126872	-3.86564	/	Db	I		I6(2)	I		6	2				M	0	0	-1, -4, -3		-5	-1	3	7	0.3	1.0	1.875	0.34782608695652173
11	11	3/8	3/8	9/8	2	1	I6	-0.126872	-3.73877	/	Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	0	10	0.0	0.0	3.75	0.0
12	12	0	0	9/8	2	1	ii65(2)	-0.126872	-3.73877	/	Db	I		ii65(2)	ii		65	2				mm7	0	0	-6, -2, -5, -1		-3	-6	1	10	0.09090909090909091	0.125	3.25	0.037037037037037035
12	12	3/8	3/8	9/8	2	1	ii65	-0.126872	-3.48502	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	0	8	0.0	0.0	5.25	0.0
13	13	0	0	9/8	2	1	V43/IV	0	-3.5	/	Db	I		V43/IV	V		43		IV			Mm7	0	0	-4, -7, -5, -1		-5	-4	2	7	0.2222222222222222	0.25	1.875	0.11764705882352941
13	13	3/8	3/8	9/8	2	1	V43(6)/IV	-0.126872	-5.35815	/	Db	I		V43(6)/IV	V		43	6	IV			Mm7	0	0	-2, -7, -5, -1		-5	-2	0	6	0.0	0.0	2.25	0.0
13	13	9/16	9/16	9/8	2	1	V43/IV	-0.253744	-4.59692	/	Db	I		V43/IV	V		43		IV			Mm7	0	0	-4, -7, -5, -1		-5	-4	0	10	0.0	0.0	1.875	0.0
14	14	0	0	9/8	2	1	vi(4)	0	-4.5	/	Db	I		vi(4)	vi			4				m	0	0	-2, -3, -1		-2	-2	0	15	0.0	0.0	5.75	0.0
14	14	9/16	9/16	9/8	2	1	vi	0.126872	-3.73877	/	Db	I		vi	vi							m	0	0	-2, -5, -1		-2	-2	0	5	0.0	0.0	1.125	0.0
15	15	0	0	9/8	2	1	ii(2)	-0.126872	-3.47005	/	Db	I		ii(2)	ii			2				m	0	0	-1, -6, -2		-3	-1	2	12	0.14285714285714285	1.5	1.875	0.4444444444444444
15	15	1/2	1/2	9/8	2	1	ii	0.253744	-4.99251	/	Db	I		ii	ii							m	0	0	-3, -6, -2		-3	-3	0	18	0.0	0.0	2.25	0.0
15	15	7/8	7/8	9/8	2	1	ii7	-0.253744	-4.61189	/	Db	I		ii7	ii		7					mm7	0	0	-3, -6, -2, -5		-3	-3	0	18	0.0	0.0	2.25	0.0
16	16	1/8	1/8	9/8	2	1	IV(4)	-0.253744	-3.86564	/	Db	I		IV(4)	IV			4				M	0	0	-6, 0, -5		-6	-6	6	15	0.2857142857142857	0.875	2.1875	0.2857142857142857
16	16	9/16	9/16	9/8	2	1	IV64	-0.761233	-3.99251	/	Db	I		IV64	IV		64					M	0	0	-5, -6, -2		-6	-5	0	6	0.0	0.0	1.125	0.0
16	16	3/4	3/4	9/8	2	1	IV6	0	-3.73877	/	Db	I		IV6	IV		6					M	0	0	-2, -5, -6		-6	-2	0	6	0.0	0.0	2.25	0.0
17	17	0	0	9/8	2	1	ii(2)	-0.380616	-2.85066	/	Db	I		ii(2)	ii			2				m	0	0	-1, -6, -2		-3	-1	3	24	0.1111111111111111	1.625	4.0	0.28888888888888886
17	17	3/4	3/4	9/8	2	1	ii	0	-4.5	/	Db	I		ii	ii							m	0	0	-3, -6, -2		-3	-3	3	15	0.16666666666666666	0.375	1.875	0.16666666666666666
18	18	0	0	9/8	2	1	IV64	0	-4.5	/	Db	I		IV64	IV		64					M	0	0	-5, -6, -2		-6	-5	7	24	0.22580645161290322	0.9375	3.5625	0.20833333333333334
18	18	3/4	3/4	9/8	2	1	ii64	0	-3.5	/	Db	I		ii64	ii		64					m	0	0	-2, -3, -6		-3	-2	0	6	0.0	0.0	2.25	0.0
19	19	0	0	9/8	2	1	V7(+2)				Db	I		V7(+2)	V		7	+2				Mm7	0	0	-4, 0, -3, -6	-2	-4	-4	0	26	0.0	0.0	7.5	0.0
20	20	0	0	9/8	2	1	#viio7/vi				Db	I		#viio7/vi	#vii	o	7		vi			o7	0	0	3, 0, -3, -6		3	3	3	41	0.06818181818181818	0.375	8.125	0.04411764705882353
21	21	0	0	9/8	2	1	IV6				Db	I		IV6	IV		6					M	0	0	-2, -5, -6		-6	-2	3	20	0.13043478260869565	0.5625	7.3125	0.07142857142857142
22	22	0	0	9/8	2	1	vii%7				Db	I		vii%7	vii	%	7					%7	0	0	0, -3, -6, -2		0	0	5	39	0.11363636363636363	0.625	8.625	0.06756756756756757
23	23	0	0	9/8	2	1	IV64				Db	I		IV64	IV		64					M	0	0	-5, -6, -2		-6	-5	6	19	0.24	1.125	7.6875	0.1276595744680851
24	24	0	0	9/8	2	1	ii7				Db	I		ii7	ii		7					mm7	0	0	-3, -6, -2, -5		-3	-3	5	45	0.1	0.625	6.875	0.08333333333333333
25	25	0	0	9/8	2	1	I6	0	-3.5	/	Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	0	7	0.0	0.0	5.25	0.0
25	25	3/4	3/4	9/8	2	1	i6(+6)	0	-3.5	/	Db	I		i6(+6)	i		6	+6				m	0	0	-8, -4, -5	-2	-5	-8	0	8	0.0	0.0	3.0	0.0
26	26	0	0	9/8	2	1	V43(4)				Db	I		V43(4)	V		43	4				Mm7	0	0	-3, -6, -4, -5		-4	-3	0	8	0.0	0.0	6.0	0.0
26	26	3/4	3/4	9/8	2	1	V7|HC}				Db	I		V7	V		7			HC	}	Mm7	0	0	-4, 0, -3, -6		-4	-4	0	7	0.0	0.0	2.625	0.0
27	27	0	0	9/8	2	1	I{				Db	I		I	I						{	M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	2.25	0.0
27	27	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
27	27	3/4	3/4	9/8	2	1	bIII6				Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	1	9	0.1	0.125	1.375	0.08333333333333333
28	28	0	0	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	2.25	0.0
28	28	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
28	28	3/4	3/4	9/8	2	1	bIII6				Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	0	10	0.0	0.0	1.375	0.0
29	29	0	0	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	1	27	0.03571428571428571	0.125	3.25	0.037037037037037035
30	30	0	0	9/8	2	1	V7/V	0	-3.9	/	Db	I		V7/V	V		7		V			Mm7	0	0	-3, 1, -2, -5		-3	-3	2	29	0.06451612903225806	0.25	3.125	0.07407407407407407
31	31	0	0	9/8	2	1	V7(+2)				Db	I		V7(+2)	V		7	+2				Mm7	0	0	-4, 0, -3, -6	-2	-4	-4	0	8	0.0	0.0	1.5	0.0
31	31	3/8	3/8	9/8	2	1	IV				Db	I		IV	IV							M	0	0	-6, -2, -5		-6	-6	0	7	0.0	0.0	0.75	0.0
31	31	3/4	3/4	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	10	0.0	0.0	1.375	0.0
32	32	0	0	9/8	2	1	V7(+2)				Db	I		V7(+2)	V		7	+2				Mm7	0	0	-4, 0, -3, -6	-2	-4	-4	0	8	0.0	0.0	1.5	0.0
32	32	3/8	3/8	9/8	2	1	IV				Db	I		IV	IV							M	0	0	-6, -2, -5		-6	-6	0	7	0.0	0.0	0.75	0.0
32	32	3/4	3/4	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	10	0.0	0.0	1.25	0.0
33	33	0	0	9/8	2	1	ii	-0.7	-3.3	/	Db	I		ii	ii							m	0	0	-3, -6, -2		-3	-3	6	22	0.21428571428571427	0.875	2.5	0.25925925925925924
34	34	0	0	9/8	2	1	IV+64				Db	I		IV+64	IV	+	64					+	0	0	2, -6, -2		-6	2	0	8	0.0	0.0	1.5	0.0
34	34	3/8	3/8	9/8	2	1	ii				Db	I		ii	ii							m	0	0	-3, -6, -2		-3	-3	0	7	0.0	0.0	0.75	0.0
34	34	3/4	3/4	9/8	2	1	V+				Db	I		V+	V	+						+	0	0	-4, 0, 4		-4	-4	0	8	0.0	0.0	1.125	0.0
35	35	0	0	9/8	2	1	I|IAC}{				Db	I		I	I					IAC	}{	M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	2.25	0.0
35	35	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
35	35	3/4	3/4	9/8	2	1	bIII6				Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	1	9	0.1	0.125	1.25	0.09090909090909091
36	36	0	0	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	9	0.0	0.0	2.25	0.0
36	36	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
36	36	3/4	3/4	9/8	2	1	#II.I6	-1	-3.5	/	Db	#II		I6	I		6					M	0	0	8, 5, 4		4	8	0	10	0.0	0.0	1.375	0.0
37	37	0	0	9/8	2	1	vi2	0.380616	-4.10441	/	Db	#II		vi2	vi		2					mm7	0	0	5, 7, 4, 8		7	5	0	11	0.0	0.0	1.5	0.0
37	37	3/8	3/8	9/8	2	1	vi7	0	-5.5	/	Db	#II		vi7	vi		7					mm7	0	0	7, 4, 8, 5		7	7	0	11	0.0	0.0	1.5	0.0
37	37	3/4	3/4	9/8	2	1	vi65	0	-6.5	/	Db	#II		vi65	vi		65					mm7	0	0	4, 8, 5, 7		7	4	0	11	0.0	0.0	1.5	0.0
38	38	0	0	9/8	2	1	ii6(2)	3.31759	-3.42892	/	Db	#II		ii6(2)	ii		6	2				m	0	0	3, 7, 8		6	3	0	8	0.0	0.0	1.125	0.0
38	38	3/8	3/8	9/8	2	1	ii	3.39811	-3.76541	/	Db	#II		ii	ii							m	0	0	6, 3, 7		6	6	0	8	0.0	0.0	1.5	0.0
38	38	3/4	3/4	9/8	2	1	ii(#7)				Db	#II		ii(#7)	ii			#7				m	0	0	6, 3, 7	11	6	6	0	7	0.0	0.0	0.75	0.0
39	39	0	0	9/8	2	1	ii2	3	-3.5	/	Db	#II		ii2	ii		2					mm7	0	0	4, 6, 3, 7		6	4	0	8	0.0	0.0	1.5	0.0
39	39	3/8	3/8	9/8	2	1	vii%7				Db	#II		vii%7	vii	%	7					%7	0	0	9, 6, 3, 7		9	9	0	7	0.0	0.0	0.75	0.0
39	39	3/4	3/4	9/8	2	1	IV6	-0.160439	-6.35282	/	Db	#II		IV6	IV		6					M	0	0	7, 4, 3		3	7	0	9	0.0	0.0	1.125	0.0
40	40	0	0	9/8	2	1	V7(+2)				Db	#II		V7(+2)	V		7	+2				Mm7	0	0	5, 9, 6, 3	7	5	5	0	8	0.0	0.0	1.5	0.0
40	40	3/8	3/8	9/8	2	1	ii65				Db	#II		ii65	ii		65					mm7	0	0	3, 7, 4, 6		6	3	0	7	0.0	0.0	0.75	0.0
40	40	3/4	3/4	9/8	2	1	ii43(2)				Db	#II		ii43(2)	ii		43	2				mm7	0	0	7, 4, 8, 3		6	7	0	9	0.0	0.0	1.125	0.0
41	41	0	0	9/8	2	1	ii7	1.72515	-3.56163	/	Db	#II		ii7	ii		7					mm7	0	0	6, 3, 7, 4		6	6	13	60	0.1780821917808219	1.75	6.5	0.21212121212121213
43	43	0	0	9/8	2	1	I.V[V7(4)	0	-2.3	/	Db	I	V	V7(4)	V		7	4				Mm7	0	0	-4, -5, -3, -6		-4	-4	1	17	0.05555555555555555	0.25	2.75	0.08333333333333333
43	43	3/4	3/4	9/8	2	1	V7				Db	I	V	V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	11	0.08333333333333333	0.125	1.5	0.07692307692307693
44	44	0	0	9/8	2	1	V7(4)				Db	I	V	V7(4)	V		7	4				Mm7	0	0	-4, -5, -3, -6		-4	-4	1	17	0.05555555555555555	0.25	2.75	0.08333333333333333
44	44	3/4	3/4	9/8	2	1	V7				Db	I	V	V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	11	0.08333333333333333	0.125	1.5	0.07692307692307693
45	45	0	0	9/8	2	1	V7(42)	0	-3.5	/	Db	I	V	V7(42)	V		7	42				Mm7	0	0	-2, -5, -3, -6		-4	-2	9	17	0.34615384615384615	0.75	2.25	0.25
45	45	3/4	3/4	9/8	2	1	V7				Db	I	V	V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	10	0.09090909090909091	0.125	1.375	0.08333333333333333
46	46	0	0	9/8	2	1	V7(42)	0	-3.5	/	Db	I	V	V7(42)	V		7	42				Mm7	0	0	-2, -5, -3, -6		-4	-2	9	17	0.34615384615384615	0.75	2.25	0.25
46	46	3/4	3/4	9/8	2	1	V7]				Db	I	V	V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	10	0.09090909090909091	0.125	1.375	0.08333333333333333
47	47	0	0	9/8	2	1	ii65	0	-3.5	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	1	9	0.1	0.125	2.125	0.05555555555555555
47	47	3/8	3/8	9/8	2	1	ii43	0	-3.5	/	Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	7	0.0	0.0	0.6875	0.0
47	47	3/4	3/4	9/8	2	1	vii%7	0	-3.5	/	Db	I		vii%7	vii	%	7					%7	0	0	0, -3, -6, -2		0	0	0	9	0.0	0.0	1.125	0.0
48	48	0	0	9/8	2	1	ii65	0	-3.5	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	1	9	0.1	0.125	2.125	0.05555555555555555
48	48	3/8	3/8	9/8	2	1	ii43	0	-3.5	/	Db	I		ii43	ii		43					mm7	0	0	-2, -5, -3, -6		-3	-2	0	7	0.0	0.0	0.6875	0.0
48	48	3/4	3/4	9/8	2	1	vii%7	0	-3.5	/	Db	I		vii%7	vii	%	7					%7	0	0	0, -3, -6, -2		0	0	0	9	0.0	0.0	1.125	0.0
49	49	0	0	9/8	2	1	ii65	2.65407	-1.96919	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	1	21	0.045454545454545456	0.0625	3.3125	0.018518518518518517
50	50	0	0	9/8	2	1	ii65(#4)	2.78677	-2.5	/	Db	I		ii65(#4)	ii		65	#4				mm7	0	0	-6, 3, -5, -3		-3	-6	1	22	0.043478260869565216	0.0625	3.3125	0.018518518518518517
51	51	0	0	9/8	2	1	iii[iii				Db	I	iii	iii	iii							m	0	0	-1, -4, 0		-1	-1	0	11	0.0	0.0	2.625	0.0
52	52	0	0	9/8	2	1	V7/vi				Db	I	iii	V7/vi	V		7		vi			Mm7	0	0	-1, 3, 0, -3		-1	-1	1	14	0.06666666666666667	0.125	3.5	0.034482758620689655
53	53	0	0	9/8	2	1	vi43(4)				Db	I	iii	vi43(4)	vi		43	4				mm7	0	0	-1, -4, -2, -3		-2	-1	4	9	0.3076923076923077	0.4375	1.4375	0.23333333333333334
53	53	3/8	3/8	9/8	2	1	vi43]				Db	I	iii	vi43	vi		43					mm7	0	0	-1, -4, -2, -5		-2	-1	0	9	0.0	0.0	1.875	0.0
54	54	0	0	9/8	2	1	V43(4)				Db	I		V43(4)	V		43	4				Mm7	0	0	-3, -6, -4, -5		-4	-3	4	9	0.3076923076923077	0.375	1.375	0.21428571428571427
54	54	3/8	3/8	9/8	2	1	V43				Db	I		V43	V		43					Mm7	0	0	-3, -6, -4, 0		-4	-3	0	3	0.0	0.0	1.875	0.0
55	55	0	0	9/8	2	1	ii2				Db	I		ii2	ii		2					mm7	0	0	-5, -3, -6, -2		-3	-5	2	13	0.13333333333333333	0.25	2.125	0.10526315789473684
55	55	3/4	3/4	9/8	2	1	iii43	-0.663518	-4.62326	/	Db	I		iii43	iii		43					mm7	0	0	0, -3, -1, -4		-1	0	1	8	0.1111111111111111	0.125	2.5	0.047619047619047616
56	56	0	0	9/8	2	1	vii%7(64)				Db	I		vii%7(64)	vii	%	7	64				%7	0	0	0, -1, -4, -2		0	0	5	8	0.38461538461538464	0.4375	1.4375	0.23333333333333334
56	56	3/8	3/8	9/8	2	1	vii%7				Db	I		vii%7	vii	%	7					%7	0	0	0, -3, -6, -2		0	0	0	3	0.0	0.0	1.125	0.0
56	56	3/4	3/4	9/8	2	1	V7/vi				Db	I		V7/vi	V		7		vi			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	5	0.0	0.0	1.875	0.0
57	57	0	0	9/8	2	1	vi2	0	-3.9	/	Db	I		vi2	vi		2					mm7	0	0	-4, -2, -5, -1		-2	-4	2	14	0.125	0.25	2.25	0.1
57	57	3/4	3/4	9/8	2	1	ii65	0	-3.5	/	Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	1	7	0.125	0.125	2.125	0.05555555555555555
58	58	0	0	9/8	2	1	vi43(4)				Db	I		vi43(4)	vi		43	4				mm7	0	0	-1, -4, -2, -3		-2	-1	3	9	0.25	0.3125	1.4375	0.17857142857142858
58	58	3/8	3/8	9/8	2	1	vi43				Db	I		vi43	vi		43					mm7	0	0	-1, -4, -2, -5		-2	-1	0	2	0.0	0.0	0.75	0.0
58	58	3/4	3/4	9/8	2	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	6	0.0	0.0	1.875	0.0
59	59	0	0	9/8	2	1	I|IAC}{				Db	I		I	I					IAC	}{	M	0	0	-5, -1, -4		-5	-5	0	8	0.0	0.0	2.25	0.0
59	59	3/8	3/8	9/8	2	1	V7/IV				Db	I		V7/IV	V		7		IV			Mm7	0	0	-5, -1, -4, -7		-5	-5	0	7	0.0	0.0	3.75	0.0
60	60	0	0	9/8	2	1	ii65(2)	0	-3.7	/	Db	I		ii65(2)	ii		65	2				mm7	0	0	-6, -2, -5, -1		-3	-6	1	11	0.08333333333333333	0.125	3.375	0.03571428571428571
60	60	3/8	3/8	9/8	2	1	ii65				Db	I		ii65	ii		65					mm7	0	0	-6, -2, -5, -3		-3	-6	0	7	0.0	0.0	5.25	0.0
61	61	0	0	9/8	2	1	V43(2)/IV	0	-3.5	/	Db	I		V43(2)/IV	V		43	2	IV			Mm7	0	0	-4, -7, -3, -1		-5	-4	2	7	0.2222222222222222	0.25	1.875	0.11764705882352941
61	61	3/8	3/8	9/8	2	1	V43/IV	0	-3.5	/	Db	I		V43/IV	V		43		IV			Mm7	0	0	-4, -7, -5, -1		-5	-4	0	11	0.0	0.0	4.125	0.0
62	62	0	0	9/8	2	1	vi(4)	0	-4.5	/	Db	I		vi(4)	vi			4				m	0	0	-2, -3, -1		-2	-2	0	15	0.0	0.0	6.125	0.0
62	62	3/4	3/4	9/8	2	1	vi	0	-3.5	/	Db	I		vi	vi							m	0	0	-2, -5, -1		-2	-2	0	2	0.0	0.0	0.75	0.0
63	63	0	0	9/8	2	1	I6				Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	1	3	0.25	0.125	1.125	0.1
63	63	3/8	3/8	9/8	2	1	vi64				Db	I		vi64	vi		64					m	0	0	-1, -2, -5		-2	-1	0	3	0.0	0.0	1.125	0.0
63	63	3/4	3/4	9/8	2	1	I6				Db	I		I6	I		6					M	0	0	-1, -4, -5		-5	-1	0	4	0.0	0.0	1.5	0.0
64	64	0	0	9/8	2	1	ii7				Db	I		ii7	ii		7					mm7	0	0	-3, -6, -2, -5		-3	-3	1	12	0.07692307692307693	0.125	4.375	0.027777777777777776
65	65	0	0	9/8	2	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	1	6	0.14285714285714285	0.125	1.75	0.06666666666666667
65	65	3/8	3/8	9/8	2	1	iii6				Db	I		iii6	iii		6					m	0	0	-4, 0, -1		-1	-4	0	4	0.0	0.0	1.5	0.0
65	65	3/4	3/4	9/8	2	1	V7				Db	I		V7	V		7					Mm7	0	0	-4, 0, -3, -6		-4	-4	0	4	0.0	0.0	1.5	0.0
66	66	0	0	9/8	2	1	I|PAC}				Db	I		I	I					PAC	}	M	0	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	0.75	0.0
66	66	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
66	66	3/4	3/4	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	0.75	0.0
67	67	0	0	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
67	67	3/8	3/8	9/8	2	1	bIII6				Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	1	8	0.1111111111111111	0.0625	1.8125	0.03333333333333333
67	67	3/4	3/4	9/8	2	1	i64				Db	I		i64	i		64					m	0	0	-4, -5, -8		-5	-4	0	3	0.0	0.0	1.125	0.0
68	68	0	0	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	0.75	0.0
68	68	3/8	3/8	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
68	68	3/4	3/4	9/8	2	1	I				Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	7	0.0	0.0	0.75	0.0
69	69	0	0	9/8	2	1	iii				Db	I		iii	iii							m	0	0	-1, -4, 0		-1	-1	0	7	0.0	0.0	0.75	0.0
69	69	3/8	3/8	9/8	2	1	bIII6	-1.46872	-4.64185	/	Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	0	9	0.0	0.0	2.25	0.0
69	69	3/4	3/4	9/8	2	1	i64	-0.6	-5.40308	/	Db	I		i64	i		64					m	0	0	-4, -5, -8		-5	-4	0	2	0.0	0.0	0.75	0.0
70	70	0	0	9/8	2	1	bIII6	-1.52247	-4.76872	/	Db	I		bIII6	bIII		6					M	0	0	-4, -7, -8		-8	-4	0	9	0.0	0.0	2.25	0.0
70	70	3/8	3/8	9/8	2	1	i64	0	-5.14934	/	Db	I		i64	i		64					m	0	0	-4, -5, -8		-5	-4	0	6	0.0	0.0	2.25	0.0
71	71	0	0	9/8	2	1	I	-2.22386	-4.61267	/	Db	I		I	I							M	0	0	-5, -1, -4		-5	-5	0	25	0.0	0.0	10.125	0.0
